id,date,surface_time,dive_time,haul_time,n_dives,av_depth,max_depth,sd_depth,av_duration,sd_duration,max_duration
hp6-747-19,2019-03-23T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-23T06:00:00Z,18.9,0,81.1,0,0,0,NA,0,0,0
hp6-747-19,2019-03-23T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-23T18:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-24T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-24T06:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-24T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-24T18:00:00Z,13.4,0,86.6,0,0,0,NA,0,0,0
hp6-747-19,2019-03-25T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-25T18:00:00Z,7.9,0,92.1,0,0,0,NA,0,0,0
hp6-747-19,2019-03-26T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-26T06:00:00Z,7.9,0,92.1,0,0,0,NA,0,0,0
hp6-747-19,2019-03-26T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-26T18:00:00Z,1.6,0,98.4,0,0,0,NA,0,0,0
hp6-747-19,2019-03-27T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-27T06:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-27T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-27T18:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-28T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-28T18:00:00Z,29.3,1.5,69.2,16,10,14,NA,24,0,64
hp6-747-19,2019-03-29T00:00:00Z,98.5,1.5,0,12,9,12,NA,32,0,64
hp6-747-19,2019-03-29T06:00:00Z,66.2,9.4,24.4,48,10,18,NA,40,0,136
hp6-747-19,2019-03-29T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-03-29T18:00:00Z,48.9,5.5,45.6,44,10,18,NA,24,0,88
hp6-747-19,2019-03-30T00:00:00Z,100,0,0,6,8,12,NA,24,0,48
hp6-747-19,2019-03-30T06:00:00Z,88.2,11.8,0,69,10,30,NA,32,0,128
hp6-747-19,2019-03-30T12:00:00Z,9.6,0.7,89.7,8,9,16,NA,16,0,48
hp6-747-19,2019-03-30T18:00:00Z,28.4,3.9,67.7,20,12,20,NA,40,0,104
hp6-747-19,2019-03-31T00:00:00Z,93,3.9,3.1,30,10,20,NA,32,0,104
hp6-747-19,2019-03-31T06:00:00Z,87.5,12.5,0,56,14,38,NA,40,0,144
hp6-747-19,2019-03-31T12:00:00Z,77.2,22.8,0,77,20,62,NA,64,0,224
hp6-747-19,2019-03-31T18:00:00Z,1.6,0,98.4,0,12,12,NA,72,0,72
hp6-747-19,2019-04-01T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-01T06:00:00Z,49.8,25.1,25.1,56,30,50,NA,88,60,224
hp6-747-19,2019-04-01T12:00:00Z,67.1,25.9,7,77,24,54,NA,72,0,200
hp6-747-19,2019-04-01T18:00:00Z,71.7,28.3,0,113,14,52,NA,48,0,176
hp6-747-19,2019-04-02T00:00:00Z,100,0,0,4,10,14,NA,32,0,80
hp6-747-19,2019-04-02T06:00:00Z,68.6,31.4,0,77,22,44,NA,80,0,184
hp6-747-19,2019-04-02T12:00:00Z,37.1,37,25.9,81,18,30,NA,96,0,184
hp6-747-19,2019-04-03T18:00:00Z,74.1,25.9,0,73,22,50,NA,80,0,208
hp6-747-19,2019-04-04T00:00:00Z,96.1,0,3.9,0,0,0,NA,0,0,0
hp6-747-19,2019-04-04T18:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-05T00:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-05T06:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-05T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-06T06:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-06T12:00:00Z,0,0,100,0,0,0,NA,0,0,0
hp6-747-19,2019-04-08T06:00:00Z,39.4,60.6,0,101,38,115,NA,128,60,260
hp6-747-19,2019-04-08T12:00:00Z,38.6,61.4,0,93,42,130,NA,136,60,260
hp6-747-19,2019-04-09T06:00:00Z,44.1,55.9,0,85,48,110,NA,136,0,208
hp6-747-19,2019-04-09T12:00:00Z,27.6,72.4,0,85,68,120,NA,176,0,420
hp6-747-19,2019-04-10T06:00:00Z,54.4,45.6,0,73,52,94,NA,128,0,192
hp6-747-19,2019-04-10T12:00:00Z,44.1,55.9,0,81,68,100,NA,144,0,192
hp6-747-19,2019-04-10T18:00:00Z,36.3,63.7,0,97,52,110,NA,136,0,292
hp6-747-19,2019-04-11T00:00:00Z,46.5,53.5,0,69,32,80,NA,168,0,260
hp6-747-19,2019-04-11T18:00:00Z,39.4,60.6,0,153,18,56,NA,80,0,168
hp6-747-19,2019-04-12T00:00:00Z,62.3,37.7,0,44,30,38,NA,176,0,240
hp6-747-19,2019-04-12T06:00:00Z,58.3,41.7,0,89,34,115,NA,96,60,260
hp6-747-19,2019-04-12T12:00:00Z,24.5,75.5,0,97,46,140,NA,160,0,276
hp6-747-19,2019-04-12T18:00:00Z,37.1,62.9,0,121,26,100,NA,112,0,276
hp6-747-19,2019-04-13T00:00:00Z,38.6,61.4,0,62,40,125,NA,208,60,308
hp6-747-19,2019-04-15T06:00:00Z,47.3,52.7,0,89,40,110,NA,128,0,216
hp6-747-19,2019-04-15T12:00:00Z,22.9,77.1,0,101,52,130,NA,160,0,240
hp6-747-19,2019-04-17T06:00:00Z,31.5,68.5,0,89,54,120,NA,160,0,292
hp6-747-19,2019-04-17T12:00:00Z,32.3,67.7,0,101,50,92,NA,144,60,276
hp6-747-19,2019-04-18T18:00:00Z,20.6,38.5,40.9,58,46,68,NA,136,0,208
hp6-747-19,2019-04-19T00:00:00Z,40.2,59.8,0,89,28,100,NA,144,60,308
hp6-747-19,2019-04-20T06:00:00Z,30,70,0,113,30,110,NA,128,60,308
hp6-747-19,2019-04-20T12:00:00Z,30.8,69.2,0,97,44,140,NA,152,60,372
hp6-747-19,2019-04-20T18:00:00Z,20.5,79.5,0,93,46,100,NA,184,0,340
hp6-747-19,2019-04-21T00:00:00Z,59.9,40.1,0,54,30,64,NA,160,60,292
hp6-747-19,2019-04-21T06:00:00Z,52.8,47.2,0,65,42,135,NA,144,60,356
hp6-747-19,2019-04-21T12:00:00Z,22.1,77.9,0,89,64,110,NA,192,0,276
hp6-747-19,2019-04-21T18:00:00Z,22.1,77.9,0,85,64,88,NA,192,0,240
hp6-747-19,2019-04-22T00:00:00Z,30.8,69.2,0,69,32,105,NA,208,0,308
hp6-747-19,2019-04-22T18:00:00Z,30.8,69.2,0,89,48,125,NA,168,60,308
hp6-747-19,2019-04-23T00:00:00Z,23.7,76.3,0,73,36,110,NA,216,60,324
hp6-747-19,2019-04-23T18:00:00Z,27.6,72.4,0,101,42,90,NA,152,60,356
hp6-747-19,2019-04-24T00:00:00Z,37.1,62.9,0,97,26,100,NA,136,60,324
hp6-747-19,2019-04-24T06:00:00Z,29.2,70.8,0,89,46,125,NA,168,60,324
hp6-747-19,2019-04-24T12:00:00Z,18.9,81.1,0,89,48,130,NA,192,0,372
hp6-747-19,2019-04-24T18:00:00Z,20.5,79.5,0,93,52,140,NA,184,0,356
hp6-747-19,2019-04-25T00:00:00Z,74.1,25.9,0,36,26,110,NA,152,60,308
hp6-747-19,2019-04-25T06:00:00Z,26,74,0,81,54,160,NA,200,0,356
hp6-747-19,2019-04-25T12:00:00Z,27.6,72.4,0,97,54,82,NA,152,0,240
hp6-747-19,2019-04-30T18:00:00Z,21.3,78.7,0,117,28,64,NA,144,0,260
hp6-747-19,2019-05-01T00:00:00Z,27.6,72.4,0,89,36,70,NA,168,60,340
hp6-747-19,2019-05-01T06:00:00Z,24.5,75.5,0,97,52,94,NA,168,0,292
hp6-747-19,2019-05-01T12:00:00Z,27.6,72.4,0,93,52,84,NA,160,0,292
hp6-747-19,2019-05-03T18:00:00Z,25.2,74.8,0,97,34,62,NA,160,0,292
hp6-747-19,2019-05-04T00:00:00Z,27.6,72.4,0,93,28,78,NA,160,0,308
hp6-747-19,2019-05-04T06:00:00Z,21.3,78.7,0,97,50,86,NA,168,0,532
hp6-747-19,2019-05-04T12:00:00Z,25.2,74.8,0,89,66,160,NA,176,60,292
hp6-747-19,2019-05-12T18:00:00Z,41.8,58.2,0,113,36,44,NA,104,0,176
hp6-747-19,2019-05-13T00:00:00Z,61.5,38.5,0,117,20,44,NA,64,0,340
hp6-747-19,2019-05-13T18:00:00Z,27.6,72.4,0,109,40,44,NA,136,0,260
hp6-747-19,2019-05-14T00:00:00Z,40.2,59.8,0,129,30,42,NA,96,0,184
hp6-747-19,2019-05-24T06:00:00Z,29.2,70.8,0,85,56,72,NA,176,0,276
hp6-747-19,2019-05-24T12:00:00Z,37.1,62.9,0,77,58,70,NA,168,0,356
hp6-747-19,2019-05-24T18:00:00Z,30.8,69.2,0,89,72,84,NA,168,0,240
hp6-747-19,2019-05-25T00:00:00Z,28.4,71.6,0,113,44,76,NA,136,60,404
hp6-747-19,2019-05-28T18:00:00Z,24.5,75.5,0,105,54,145,NA,152,0,240
hp6-747-19,2019-05-29T00:00:00Z,26,74,0,93,34,42,NA,168,60,292
hp6-747-19,2019-06-06T18:00:00Z,24.5,75.5,0,121,52,64,NA,128,0,240
hp6-747-19,2019-06-07T00:00:00Z,52,48,0,89,28,72,NA,112,60,324
hp6-747-19,2019-06-08T06:00:00Z,22.1,77.9,0,97,58,78,NA,168,60,324
hp6-747-19,2019-06-08T12:00:00Z,21.3,78.7,0,93,82,140,NA,184,0,276
hp6-747-19,2019-06-15T18:00:00Z,20.5,79.5,0,81,56,100,NA,208,60,324
hp6-747-19,2019-06-16T00:00:00Z,21.3,78.7,0,109,42,195,NA,216,60,420
hp6-747-19,2019-06-16T06:00:00Z,21.3,78.7,0,73,74,175,NA,232,60,388
hp6-747-19,2019-06-16T12:00:00Z,38.6,61.4,0,60,56,160,NA,216,60,404
hp6-747-19,2019-06-17T06:00:00Z,24.5,75.5,0,77,52,170,NA,208,60,356
